Frame_Name	ID	left	top	right	bottom
tile0		0	0	0	32	32
tile1		1	32	0	64	32
tile0		2	64	0	96	32
tile0		3	96	0	128	32
tile0		4	128	0	160	32
tile0		5	160	0	192	32
tile0		6	192	0	224	32
tile0		7	224	0	256	32
tile0		8	256	0	288	32
tile0		9	288	0	320	32
tile0		10	320	0	352	32
tile0		11	352	0	384	32
tile0		12	384	0	416	32
tile0		13	416	0	448	32
tile0		14	448	0	480	32
tile0		15	480	0	512	32
tile0		16	0	32	32	64
tile1		17	32	32	64	64
tile0		18	64	32	96	64
tile0		19	96	32	128	64
tile0		20	128	32	160	64
tile0		21	160	32	192	64
tile0		22	192	32	224	64
tile0		23	224	32	256	64
tile0		24	256	32	288	64
tile0		25	288	32	320	64
tile0		26	320	32	352	64
tile0		27	352	32	384	64
tile0		28	384	32	416	64
tile0		29	416	32	448	64
tile0		30	448	32	480	64
tile0		31	480	32	512	64
tile3		32	0	64	32	96
