Frame_Name	ID	left	top	right	bottom
tile0		0	0	0	64	64
tile1		1	64	0	128	64
tile0		2	128	0	192	64
tile0		3	192	0	256	64
tile0		4	256	0	320	64
tile0		5	320	0	384	64
tile0		6	384	0	448	64
tile0		7	448	0	512	64
tile0		8	512	0	576	64
tile0		9	576	0	640	64
tile0		10	640	0	704	64
tile0		11	704	0	768	64
tile0		12	768	0	832	64
tile0		13	832	0	896	64
tile0		14	896	0	960	64
tile0		15	960	0	1024	64
tile0		16	0	64	64	128
tile1		17	64	64	128	128
tile0		18	128	64	192	128
tile0		19	192	64	256	128
tile0		20	256	64	320	128
tile0		21	320	64	384	128
tile0		22	384	64	448	128
tile0		23	448	64	512	128
tile0		24	512	64	576	128
tile0		25	576	64	640	128
tile0		26	640	64	704	128
tile0		27	704	64	768	128
tile0		28	768	64	832	128
tile0		29	832	64	896	128
tile0		30	896	64	960	128
tile0		31	960	64	1024	128
tile3		32	0	128	64	192
