Frame_Name	ID	left	top	right	bottom
rope_right	20001	16	0	33	67
rope_right	20002	84	0	117	49
rope_right	20003	154	0	275	33
rope_left	21001	650	0	771	67
rope_left	21002	483	0	604	67
rope_left	21003	346	0	467	67
rope_up_right	20005	16	69	33	136
rope_up_right	20006	84	69	117	118
rope_up_right	20007	154	69	275	102
rope_up_left	21005	650	69	771	136
rope_up_left	21006	483	69	604	136
rope_up_left	21007	346	69	467	136
ropeMax_right1	20010	16	138	33	205
ropeMax_right1	20011	84	138	117	187
ropeMax_right1	20012	154	138	307	171
ropeMax_left1	21010	618	138	771	205
ropeMax_left1	21011	451	138	604	205
ropeMax_left1	21012	314	138	393	171
ropeMax_right2	20015	16	207	33	274
ropeMax_right2	20016	84	207	117	256
ropeMax_right2	20017	154	207	307	240
ropeMax_left2	21015	618	207	771	247
ropeMax_left2	21016	451	207	604	247
ropeMax_left2	21017	314	207	393	240
ropeMax_right3	20020	16	276	33	343
ropeMax_right3	20021	84	276	117	325
ropeMax_right3	20022	154	276	307	309
ropeMax_left3	21020	618	276	771	343
ropeMax_left3	21021	451	276	604	343
ropeMax_left3	21022	314	276	393	309
ropeMax_right4	20025	16	345	33	412
ropeMax_right4	20026	84	345	117	394
ropeMax_right4	20027	154	345	307	378
ropeMax_left4	21025	618	345	771	412
ropeMax_left4	21026	451	345	604	412
ropeMax_left4	21027	314	345	393	378
