Animation_Name	sID	aniID	Time
rope_right	20001	2001	200
rope_right	20002	2001	200
rope_right	20003	2001	200
rope_left	21001	2002	200
rope_left	21002	2002	200
rope_left	21003	2002	200
rope_up_right	20005	2003	200
rope_up_right	20006	2003	200
rope_up_right	20007	2003	200
rope_up_left	21005	2004	200
rope_up_left	21006	2004	200
rope_up_left	21007	2004	200
ropeMax_right1	20010	2005	50
ropeMax_right2	20015	2005	50
ropeMax_right3	20020	2005	50
ropeMax_right4	20025	2005	50
ropeMax_right1	20011	2005	50
ropeMax_right2	20016	2005	50
ropeMax_right3	20021	2005	50
ropeMax_right4	20026	2005	50
ropeMax_right1	20012	2005	50
ropeMax_right2	20017	2005	50
ropeMax_right3	20022	2005	50
ropeMax_right4	20027	2005	50
ropeMax_left1	21010	2006	50
ropeMax_left2	21015	2006	50
ropeMax_left3	21020	2006	50
ropeMax_left4	21025	2006	50
ropeMax_left1	21011	2006	50
ropeMax_left2	21016	2006	50
ropeMax_left3	21021	2006	50
ropeMax_left4	21026	2006	50
ropeMax_left1	21012	2006	50
ropeMax_left2	21017	2006	50
ropeMax_left3	21022	2006	50
ropeMax_left4	21027	2006	50
eff		0	0	0
