Frame_Name	ID	left	top	right	bottom
simonStand	10000	915	70	964	135
simonIdle_R	10001	180	4	229	69
simonIdle_L	11001	737	4	786	69
simonSit_R	10002	240	4	289	69
simonSit_L	11002	677	4	726	69
simonWalk_R	10003	120	4	169	69
simonWalk_R	10004	62	4	111	69
simonWalk_L	11003	797	4	842	69
simonWalk_L	11004	855	4	904	69
simonAttack_R	10005	300	70	349	135
simonAttack_R	10006	360	70	409	135
simonAttack_R	10007	420	70	481	135
simonAttack_L	11005	617	70	678	135
simonAttack_L	11006	557	70	606	135
simonAttack_L	11007	497	70	542	135
simonSitAtk_R	10008	300	4	349	69
simonSitAtk_R	10009	360	4	409	69
simonSitAtk_R	10010	420	4	481	69
simonSitAtk_L	11008	617	4	678	69
simonSitAtk_L	11009	557	4	602	69
simonSitAtk_L	11010	497	4	542	69
simonJump_R	10011	240	18	289	69
simonJump_L	11011	677	22	726	69
eff		0	0	0	0	0	
